id,submit_time,location,men,women,1_14,15_24,25_49,50_64,65+,education,farm,income,message1946,message1964,message1981,message2012,trans1946,trans1964,trans1981,trans2012,insurance,experience,flood_times,guilty_times,exp_location,hazard_least,farm_lost,house_lost,furniture_lost,assets_lost,1904,1946,1964,1981,2012,levee,report,maner
618,2018/3/27 8:33,石嘴山市 > 惠农区,2,1,,1,2,,,大专,务农,"10,000~20,000元",,,,移动电话,,,自行车,自行车; 摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,,,
617,2018/3/27 8:32,石嘴山市 > 惠农区,3,1,1,1,,2,,,务农,"20,000~50,000元",,,,移动电话,,,自行车,自行车; 摩托车,,洪灾,1次 > 请填写受灾年份，记不清则留空: x,,,,,,,,毫无了解,毫无了解,有所耳闻,亲身经历,周遭经历; 亲身经历,8,8,10
616,2018/3/27 8:31,石嘴山市 > 平罗县,1,1,,,,,2,小学,务农,"5,000~10,000元",,,,移动电话,,,,,无,涝灾; 洪灾,6次以上 > 请选择受灾最严重的一次记录年份: x,6次以上 > 请选择受灾最严重的一次记录年份: x,,,,2,2,5,毫无了解,毫无了解,有所耳闻,周遭经历,有所耳闻; 周遭经历,8,8,3
615,2018/3/27 8:29,吴忠市 > 利通区,2,2,,1,2,,1,高中或中专,务农,,,,,移动电话,,,,摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,8,9,8
614,2018/3/27 8:28,吴忠市 > 利通区,1,2,1,,,1,1,高中或中专,务农,"10,000~20,000元",,,固定电话,移动电话,,,摩托车,汽车,有,,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,8,8,8
613,2018/3/27 8:25,中卫市 > 沙坡头区,4,1,,2,2,,,初中,务农,"＞50,000元",,,,固定电话,,,,摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,,,
612,2018/3/27 8:24,中卫市 > 沙坡头区,3,1,,,2,2,,,非农,"＞50,000元",,,固定电话,移动电话,,,,,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,10,9,9
611,2018/3/27 8:23,中卫市 > 沙坡头区,1,3,,,2,2,,本科及以上,非农,"＞50,000元",,,固定电话,互联网; 移动电话,,,,汽车; 摩托车,无,,,,,,,,,,毫无了解,毫无了解,毫无了解,周遭经历,毫无了解,10,10,10
610,2018/3/27 8:22,中卫市 > 沙坡头区,2,1,1,,,,2,,务农,"10,000~20,000元",,,,,,,,,,,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,毫无了解,8,,
609,2018/3/27 8:20,石嘴山市 > 平罗县,2,0,,,,2,,小学,务农,"20,000~50,000元",,,,移动电话,,,自行车,摩托车; 汽车,无,涝灾; 洪灾,1次 > 请填写受灾年份，记不清则留空: 2006,,,0,2,,,4,毫无了解,毫无了解,毫无了解,亲身经历; 周遭经历,周遭经历,7,7,8
608,2018/3/27 8:16,中卫市 > 沙坡头区,3,3,2,,2,,2,初中,务农,"10,000~20,000元",,,,固定电话; 移动电话; 互联网,,,,自行车,有,涝灾,,1次 > 请填写受灾年份，记不清则留空: x,,,3,,2,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,10,10,10
607,2018/3/27 8:11,中卫市 > 沙坡头区,1,,,,,1,,小学,务农,"20,000~50,000元",,,,移动电话,,,自行车,摩托车,无,涝灾,,1次 > 请填写受灾年份，记不清则留空: 2006,,,2,,5,,毫无了解,毫无了解,毫无了解,亲身经历,周遭经历,6,7,8
606,2018/3/27 8:01,中卫市 > 沙坡头区,1,1,,,2,,,小学,务农,"20,000~50,000元",,,固定电话,移动电话,,,自行车,摩托车,无,洪灾,6次以上 > 请选择受灾最严重的一次记录年份: 1981,,,3,30,3,1,5,毫无了解,毫无了解,毫无了解,亲身经历,亲身经历,10,10,5
605,2018/3/27 7:57,中卫市 > 沙坡头区,1,1,,,,2,,初中,务农,"20,000~50,000元",,,固定电话,移动电话,,,自行车,摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,周遭经历,周遭经历,5,5,5
604,2018/3/27 7:55,中卫市 > 沙坡头区,2,2,,1,2,,1,高中或中专,务农,"5,000~10,000元",,,,移动电话,,,自行车,自行车; 摩托车,有,洪灾,1次 > 请填写受灾年份，记不清则留空: 1981,,,,1,,,3,毫无了解,毫无了解,毫无了解,亲身经历,毫无了解,8,7,9
603,2018/3/27 7:53,吴忠市 > 利通区,2,4,2,,2,2,,初中,务农,"10,000~20,000元",,,,移动电话,,,自行车,摩托车,无,洪灾,2次 > 请分别填写受灾年份，记不清则留空: 2012,,,,,,,,毫无了解,毫无了解,毫无了解,周遭经历,亲身经历,8,5,8
602,2018/3/25 12:47,吴忠市 > 青铜峡市,2,2,,1,2,,1,大专,务农,"10,000~20,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,无,洪灾,3次 > 请分别填写受灾年份，记不清则留空: X,,,,,1,1,3,毫无了解,毫无了解,亲身经历,周遭经历,毫无了解,10,6,9
601,2018/3/25 12:46,吴忠市 > 青铜峡市,2,1,,1,2,,,初中,务农,"10,000~20,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,无,尚无,,,,,,,,,书面记载,毫无了解,有所耳闻,有所耳闻,毫无了解,9,9,9
600,2018/3/25 12:45,吴忠市 > 青铜峡市,1,1,,,2,,,大专,务农,"＞50,000元",尚无,尚无,尚无,移动电话; 互联网,尚无,尚无,自行车,自行车; 汽车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,毫无了解,6,6,6
599,2018/3/25 12:44,吴忠市 > 青铜峡市,2,4,2,1,2,,1,本科及以上,务农,"＞50,000元",尚无,尚无,尚无,移动电话; 互联网,尚无,尚无,自行车,摩托车; 汽车,有,洪灾,1次 > 请填写受灾年份，记不清则留空: 1981,,,,,2,2,3,毫无了解,毫无了解,周遭经历,亲身经历,书面记载,9,9,9
598,2018/3/25 12:42,吴忠市 > 青铜峡市,2,3,,,2,2,1,本科及以上,务农,"＞50,000元",尚无,尚无,尚无,移动电话; 互联网,尚无,尚无,自行车,汽车,无,尚无,,,,,,,,,书面记载,毫无了解,毫无了解,有所耳闻,毫无了解,10,10,5
597,2018/3/25 12:41,吴忠市 > 青铜峡市,2,2,,1,,2,1,高中或中专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,有,洪灾,1次 > 请填写受灾年份，记不清则留空: X,,,,,,,,毫无了解,毫无了解,毫无了解,亲身经历,毫无了解,9,6,6
596,2018/3/25 12:40,吴忠市 > 青铜峡市,1,2,,1,2,,,大专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,有所耳闻; 书面记载,6,6,6
595,2018/3/25 12:39,吴忠市 > 青铜峡市,1,2,,,1,2,,高中或中专,务农,"20,000~50,000元",尚无,尚无,尚无,固定电话; 移动电话,尚无,尚无,尚无,摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,书面记载,书面记载; 有所耳闻,书面记载; 有所耳闻; 周遭经历,10,8,8
594,2018/3/25 12:38,吴忠市 > 青铜峡市,3,2,1,1,,2,1,大专,务农,"＞50,000元",尚无,尚无,尚无,移动电话; 互联网,尚无,尚无,自行车,汽车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,有所耳闻,10,10,10
593,2018/3/25 12:37,吴忠市 > 青铜峡市,3,1,1,1,2,,,高中或中专,务农,"20,000~50,000元",尚无,尚无,尚无,固定电话; 移动电话,尚无,尚无,自行车,自行车; 摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,有所耳闻; 周遭经历,10,10,10
592,2018/3/25 12:36,吴忠市 > 青铜峡市,2,3,1,1,,2,1,高中或中专,务农,"10,000~20,000元",尚无,尚无,尚无,固定电话; 移动电话,尚无,尚无,尚无,自行车; 摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,有所耳闻,1,10,1
591,2018/3/25 12:34,吴忠市 > 青铜峡市,2,1,,1,2,,,本科及以上,务农,"10,000~20,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,有所耳闻,6,6,6
590,2018/3/25 12:32,吴忠市 > 青铜峡市,2,3,,,3,1,1,本科及以上,务农,"＞50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,书面记载,有所耳闻,书面记载,8,8,8
589,2018/3/25 12:31,吴忠市 > 青铜峡市,1,2,,1,2,,,大专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,摩托车; 汽车,有,尚无,,,,,,,,,书面记载,书面记载,书面记载,书面记载,书面记载; 周遭经历; 有所耳闻,7,10,10
588,2018/3/25 12:29,吴忠市 > 青铜峡市,1,1,,1,1,,,大专,务农,"5,000~10,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,自行车; 摩托车,,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,有所耳闻,9,9,9
587,2018/3/25 12:28,吴忠市 > 青铜峡市,2,2,,1,1,2,,本科及以上,务农,"10,000~20,000元",尚无,尚无,固定电话,移动电话,尚无,尚无,自行车,自行车; 摩托车,无,洪灾,1次 > 请填写受灾年份，记不清则留空: X,,,,,,,2,有所耳闻,毫无了解,毫无了解,有所耳闻; 周遭经历,书面记载; 有所耳闻; 亲身经历,7,7,7
586,2018/3/25 12:27,吴忠市 > 青铜峡市,2,2,1,1,2,,,本科及以上,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,自行车; 摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,有所耳闻,7,8,7
585,2018/3/25 12:26,吴忠市 > 青铜峡市,2,2,1,1,2,,,高中或中专,务农,"10,000~20,000元",尚无,尚无,尚无,固定电话; 移动电话,尚无,尚无,自行车,自行车; 摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,周遭经历,8,8,8
584,2018/3/25 12:24,吴忠市 > 青铜峡市,1,0,,,1,,,高中或中专,务农,"10,000~20,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,尚无,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,周遭经历,有所耳闻; 书面记载; 周遭经历,9,9,9
583,2018/3/23 21:46,银川市 > 贺兰县,2,2,1,,2,,1,大专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,书面记载,有所耳闻,8,8,8
582,2018/3/23 21:45,银川市 > 贺兰县,2,2,1,,2,,1,高中或中专,务农,"10,000~20,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,书面记载,毫无了解,6,6,6
581,2018/3/23 21:44,银川市 > 贺兰县,1,2,,1,2,,,小学以下,务农,"＜5,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,有所耳闻,9,9,9
580,2018/3/23 21:43,银川市 > 贺兰县,2,2,,2,2,,,高中或中专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,摩托车; 汽车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,9,9,9
579,2018/3/23 21:41,银川市 > 贺兰县,1,2,1,,2,,,大专,务农,"10,000~20,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,有所耳闻,7,7,7
578,2018/3/23 21:40,银川市 > 贺兰县,2,2,,1,2,1,,,务农,"＞50,000元",尚无,尚无,尚无,固定电话; 移动电话,尚无,尚无,尚无,自行车; 汽车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,书面记载,书面记载,7,7,8
577,2018/3/23 21:38,银川市 > 贺兰县,2,2,,1,,2,1,高中或中专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,5,5,5
576,2018/3/23 21:37,银川市 > 贺兰县,2,2,1,1,2,,,大专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,6,6,6
575,2018/3/23 21:33,银川市 > 贺兰县,1,1,,,,,2,小学,务农,"5,000~10,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,尚无,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,毫无了解,9,9,9
574,2018/3/23 21:31,银川市 > 贺兰县,1,1,,,,,2,小学,务农,"5,000~10,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,9,9,8
573,2018/3/23 21:20,银川市 > 贺兰县,2,2,1,,1,,2,大专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,,,
572,2018/3/23 21:19,银川市 > 贺兰县,3,4,1,1,1,2,2,本科及以上,务农,"＞50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车; 汽车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,书面记载,10,10,10
571,2018/3/23 21:18,银川市 > 贺兰县,2,2,,2,2,,,本科及以上,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,8,8,9
570,2018/3/23 21:17,银川市 > 贺兰县,3,3,2,,2,,2,,务农,"＞50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,汽车,有,尚无,,,,,,,,,有所耳闻,有所耳闻,有所耳闻,有所耳闻,周遭经历,5,5,5
569,2018/3/23 21:11,银川市 > 贺兰县,1,1,,,,,2,初中,务农,"10,000~20,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,摩托车,无,洪灾,1次 > 请填写受灾年份，记不清则留空: 2012,,银川市 > 贺兰县,,,1,,,毫无了解,毫无了解,毫无了解,有所耳闻,亲身经历,8,8,8
568,2018/3/23 21:06,银川市 > 贺兰县,3,2,,1,2,1,1,大专,务农,"＞50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,摩托车; 汽车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,周遭经历,书面记载; 有所耳闻,9,9,9
567,2018/3/23 21:05,银川市 > 贺兰县,2,2,,1,1,2,,初中,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,周遭经历,10,8,8
566,2018/3/23 21:04,银川市 > 贺兰县,2,3,,2,2,,1,高中或中专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,书面记载,毫无了解,7,7,8
565,2018/3/23 21:03,银川市 > 贺兰县,2,3,,2,2,,1,高中或中专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,有所耳闻,8,8,8
564,2018/3/23 21:02,银川市 > 贺兰县,2,1,,,2,,1,本科及以上,务农,"10,000~20,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻; 周遭经历,有所耳闻,6,8,8
563,2018/3/23 0:07,银川市 > 贺兰县,3,2,1,2,,2,,大专,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,有,洪灾,1次 > 请填写受灾年份，记不清则留空: 2002,,银川市 > 贺兰县,1,1,1,1,1,毫无了解,毫无了解,毫无了解,有所耳闻,书面记载,8,8,8
562,2018/3/22 13:05,中卫市 > 沙坡头区,1,1,,,,,2,初中,务农,"5,000~10,000元",尚无,尚无,固定电话,移动电话,尚无,尚无,自行车,自行车,无,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,10,10,10
561,2018/3/22 13:04,中卫市 > 沙坡头区,1,2,,,,2,1,初中,务农,"20,000~50,000元",尚无,尚无,固定电话,移动电话,尚无,尚无,自行车,摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,书面记载,5,5,5
560,2018/3/22 13:03,中卫市 > 沙坡头区,2,1,,1,,2,,初中,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,自行车,自行车; 摩托车,无,洪灾,1次 > 请填写受灾年份，记不清则留空: 2012,,中卫市 > 沙坡头区,,1,,,1,毫无了解,毫无了解,毫无了解,毫无了解,亲身经历,3,3,3
559,2018/3/22 13:01,中卫市 > 沙坡头区,1,1,,,,,2,初中,务农,"5,000~10,000元",尚无,尚无,固定电话,移动电话,尚无,尚无,自行车,自行车,,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,毫无了解,10,10,10
558,2018/3/22 13:00,中卫市 > 沙坡头区,2,2,,2,2,,,本科及以上,务农,"20,000~50,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,10,10,10
557,2018/3/22 12:54,中卫市 > 沙坡头区,3,2,2,,2,1,,初中,务农,"5,000~10,000元",尚无,尚无,尚无,移动电话,尚无,自行车,自行车,汽车,有,洪灾,1次 > 请填写受灾年份，记不清则留空: 2012,,中卫市 > 沙坡头区,,35,,,5,毫无了解,毫无了解,有所耳闻,有所耳闻,亲身经历,10,10,10
556,2018/3/22 12:52,中卫市 > 沙坡头区,2,1,1,,,2,,小学,务农,"5,000~10,000元",尚无,尚无,尚无,移动电话,尚无,尚无,尚无,摩托车,有,洪灾,2次 > 请分别填写受灾年份，记不清则留空: x 2012,,中卫市 > 沙坡头区,,15,,,5,毫无了解,毫无了解,毫无了解,毫无了解,亲身经历,5,10,10
